DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/15/2015,22:10,BRONX,10466,40.8874212,-73.824489,"(40.8874212, -73.824489)",BOSTON ROAD,EAST 233 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Illness,,,,3316368,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,22:02,,,,,,PARK AVENUE,EAST 174 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316851,PASSENGER VEHICLE,UNKNOWN,,,
10/15/2015,22:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3316384,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
10/15/2015,22:00,BROOKLYN,11216,40.682537,-73.9500096,"(40.682537, -73.9500096)",NOSTRAND AVENUE,HANCOCK STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316495,PASSENGER VEHICLE,UNKNOWN,,,
10/15/2015,21:58,BROOKLYN,11229,40.5989385,-73.9554773,"(40.5989385, -73.9554773)",AVENUE U,EAST 16 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3316935,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,21:58,BROOKLYN,11222,40.7273845,-73.9518233,"(40.7273845, -73.9518233)",MESEROLE AVENUE,LEONARD STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3317091,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
10/15/2015,21:50,,,40.7850321,-73.9405708,"(40.7850321, -73.9405708)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3316252,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,21:50,,,,,,FOREST PARK DRIVE,JACKIE ROBINSON PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316581,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,21:50,MANHATTAN,10011,40.7483561,-74.0036885,"(40.7483561, -74.0036885)",10 AVENUE,WEST 24 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3316196,SPORT UTILITY / STATION WAGON,TAXI,,,
10/15/2015,21:50,BROOKLYN,11236,40.6462644,-73.912686,"(40.6462644, -73.912686)",AVENUE D,REMSEN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315794,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,21:48,BRONX,10453,40.8549735,-73.9039533,"(40.8549735, -73.9039533)",MORRIS AVENUE,EAST 181 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316355,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/15/2015,21:35,BROOKLYN,11249,40.7236403,-73.9581539,"(40.7236403, -73.9581539)",KENT AVENUE,NORTH 13 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3316546,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,21:30,MANHATTAN,10128,40.783362,-73.9548774,"(40.783362, -73.9548774)",EAST 91 STREET,PARK AVENUE,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3316249,PASSENGER VEHICLE,BICYCLE,,,
